Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Пунш фруктовый,4354,496,Напитки,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2017-01-10,2023-01-20,1.15,Temporarily Unavailable
2,Голландский сыр,3169,949,Молочные продукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2005-02-03,2023-06-05,2.02,Available for Pickup
3,Турнепс,2878,429,Овощи,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2022-03-03,2022-04-02,4.7,Available for Pickup
4,Аква Минерале,6625,205,Напитки,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2006-04-01,2026-03-01,0.08,Refunded
5,Мортаделла,4262,671,Мясо,Помогает поддерживать нормальный уровень артериального давления.,2002-03-07,2012-04-01,0.54,Sold
6,Моющее средство для посуды,4545,264,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2008-05-09,2029-08-14,1.65,Pending
7,Помидор,2994,807,Овощи,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",1994-01-16,2010-01-05,0.09,Returned
8,Камамбер,9221,780,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2006-01-11,2014-01-05,1.27,Shipping
9,Конина,6461,105,Мясо,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2010-02-02,2016-08-09,0.36,Refunded
10,Каша из перловки,4130,457,Бакалея,Отличается хорошей совместимостью с другими продуктами питания.,2019-01-01,2025-01-03,2.45,Delivered
11,Бумажные полотенца,5926,729,Товары для дома,"Подходит для приготовления как горячих, так и холодных блюд.",2018-12-04,2025-01-05,3.04,Sold
12,Рагу,4873,809,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2008-02-03,2015-01-03,0.05,Returned
13,Одинцовская,9394,425,Напитки,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1991-08-07,2018-01-02,2.11,Returned
14,Утка,2492,494,Мясо,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2010-11-01,2030-05-17,0.98,Returned
15,Кефир,970,275,Молочные продукты,Подходит для использования в рационе людей с повышенным давлением.,2009-05-04,2027-02-11,2.17,Pending
16,Пакеты для аукциона,147,421,Товары для дома,"Является источником важных нутриентов, необходимых для роста и развития детей.",2007-06-24,2018-01-01,4.22,Returned
17,Клубника,3666,619,Фрукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1995-04-02,2025-11-09,0.26,Out of Stock
