product_id,name,price,quantity,category,description,production_date,expiration_date,rating
1,Оленина,8263,475,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2014-02-08,2025-02-02,2.43
2,Люберецкая,3993,605,Напитки,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2003-03-07,2030-01-27,3.41
4,Нектарин,9307,941,Фрукты,"Является источником витаминов группы B, необходимых для энергетического обмена.",2015-01-05,2022-07-01,2.67
5,Тыква,8585,603,Овощи,Может быть использован в выпечке для придания ей особой пышности и аромата.,1993-05-08,1996-10-10,1.07
6,Авокадо,3818,291,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",2019-02-20,2024-01-20,3.88
8,Шелковица,7452,31,Фрукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2013-12-21,2014-04-02,4.92
9,Варенец,6155,525,Молочные продукты,Помогает сохранять бодрость и активность в течение дня.,2005-03-12,2024-05-02,4.8
10,Зубная паста,7750,690,Товары для дома,Помогает поддерживать здоровый цвет лица и упругость кожи.,2015-07-01,2023-07-15,2.68
11,Свекла,6288,286,Овощи,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1996-01-15,2012-08-10,3.58
12,Рамбутан,3945,278,Фрукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2003-01-22,2006-01-04,3.02
13,Оленина,8129,184,Мясо,Отличается высокой степенью очистки и отсутствия посторонних примесей.,1990-01-25,1991-05-02,4.08
14,Моющее средство для посуды,7027,367,Товары для дома,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2006-08-04,2030-03-10,4.06
15,Шубат,7317,735,Молочные продукты,Помогает поддерживать нормальный уровень гормонов в организме.,1996-02-09,2024-01-06,3.23
16,Мортаделла,3207,894,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2008-10-22,2009-10-09,3.16
17,Лук-порей,6932,944,Овощи,Помогает улучшать качество сна и снижать уровень тревожности.,2016-11-01,2024-06-03,4.08
