name,city,place,prize
Реджо-нель-Эмилия 1993,Сан-Себастьян,0,8000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,0,8000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,0,8000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,0,8000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,1,4000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,1,4000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,1,4000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,1,4000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,2,2000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,2,2000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,2,2000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,2,2000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,3,1000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,3,1000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,3,1000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,3,1000000
Реджо-нель-Эмилия 1993,Сан-Себастьян,4,500000
Реджо-нель-Эмилия 1993,Сан-Себастьян,4,500000
Реджо-нель-Эмилия 1993,Сан-Себастьян,4,500000
Реджо-нель-Эмилия 1993,Сан-Себастьян,4,500000
Реджо-нель-Эмилия 1993,Сан-Себастьян,5,250000
Реджо-нель-Эмилия 1993,Сан-Себастьян,5,250000
Реджо-нель-Эмилия 1993,Сан-Себастьян,5,250000
Реджо-нель-Эмилия 1993,Сан-Себастьян,5,250000
Реджо-нель-Эмилия 1993,Сан-Себастьян,6,125000
Реджо-нель-Эмилия 1993,Сан-Себастьян,6,125000
Реджо-нель-Эмилия 1993,Сан-Себастьян,6,125000
Реджо-нель-Эмилия 1993,Сан-Себастьян,6,125000
Реджо-нель-Эмилия 1993,Сан-Себастьян,7,62500
Реджо-нель-Эмилия 1993,Сан-Себастьян,7,62500
Реджо-нель-Эмилия 1993,Сан-Себастьян,7,62500
Реджо-нель-Эмилия 1993,Сан-Себастьян,7,62500
Реджо-нель-Эмилия 1993,Сан-Себастьян,8,31250
Реджо-нель-Эмилия 1993,Сан-Себастьян,8,31250
Реджо-нель-Эмилия 1993,Сан-Себастьян,8,31250
Реджо-нель-Эмилия 1993,Сан-Себастьян,8,31250
Реджо-нель-Эмилия 1993,Сан-Себастьян,9,15625
Реджо-нель-Эмилия 1993,Сан-Себастьян,9,15625
Реджо-нель-Эмилия 1993,Сан-Себастьян,9,15625
Реджо-нель-Эмилия 1993,Сан-Себастьян,9,15625
Реджо-нель-Эмилия 1993,Сан-Себастьян,10,7812
Реджо-нель-Эмилия 1993,Сан-Себастьян,10,7812
Реджо-нель-Эмилия 1993,Сан-Себастьян,10,7812
Реджо-нель-Эмилия 1993,Сан-Себастьян,10,7812
Реджо-нель-Эмилия 1993,Сан-Себастьян,11,3906
Реджо-нель-Эмилия 1993,Сан-Себастьян,11,3906
Реджо-нель-Эмилия 1993,Сан-Себастьян,11,3906
Реджо-нель-Эмилия 1993,Сан-Себастьян,11,3906
Реджо-нель-Эмилия 1993,Сан-Себастьян,12,2000
Реджо-нель-Эмилия 1993,Сан-Себастьян,12,2000
Реджо-нель-Эмилия 1993,Сан-Себастьян,12,2000
Реджо-нель-Эмилия 1993,Сан-Себастьян,12,2000
Реджо-нель-Эмилия 1993,Сан-Себастьян,13,2000
Реджо-нель-Эмилия 1993,Сан-Себастьян,13,2000
Реджо-нель-Эмилия 1993,Сан-Себастьян,13,2000
Реджо-нель-Эмилия 1993,Сан-Себастьян,13,2000
Политика 2019,Мадрид,0,21000000
Политика 2019,Мадрид,0,21000000
Политика 2019,Мадрид,0,21000000
Политика 2019,Мадрид,0,21000000
Политика 2019,Мадрид,1,10500000
Политика 2019,Мадрид,1,10500000
Политика 2019,Мадрид,1,10500000
Политика 2019,Мадрид,1,10500000
Политика 2019,Мадрид,2,5250000
Политика 2019,Мадрид,2,5250000
Политика 2019,Мадрид,2,5250000
Политика 2019,Мадрид,2,5250000
Политика 2019,Мадрид,3,2625000
Политика 2019,Мадрид,3,2625000
Политика 2019,Мадрид,3,2625000
Политика 2019,Мадрид,3,2625000
Дортмунд 1995,Гранада,0,27000000
Дортмунд 1995,Гранада,0,27000000
Дортмунд 1995,Гранада,0,27000000
Дортмунд 1995,Гранада,0,27000000
Дортмунд 1995,Гранада,1,13500000
Дортмунд 1995,Гранада,1,13500000
Дортмунд 1995,Гранада,1,13500000
Дортмунд 1995,Гранада,1,13500000
Дортмунд 1995,Гранада,2,6750000
Дортмунд 1995,Гранада,2,6750000
Дортмунд 1995,Гранада,2,6750000
Дортмунд 1995,Гранада,2,6750000
Дортмунд 1995,Гранада,3,3375000
Дортмунд 1995,Гранада,3,3375000
Дортмунд 1995,Гранада,3,3375000
Дортмунд 1995,Гранада,3,3375000
Дортмунд 1995,Гранада,4,1687500
Дортмунд 1995,Гранада,4,1687500
Дортмунд 1995,Гранада,4,1687500
Дортмунд 1995,Гранада,4,1687500
Дортмунд 1995,Гранада,5,843750
Дортмунд 1995,Гранада,5,843750
Дортмунд 1995,Гранада,5,843750
Дортмунд 1995,Гранада,5,843750
Дортмунд 1995,Гранада,6,421875
Дортмунд 1995,Гранада,6,421875
Дортмунд 1995,Гранада,6,421875
Дортмунд 1995,Гранада,6,421875
Дортмунд 1995,Гранада,7,210938
Дортмунд 1995,Гранада,7,210938
Дортмунд 1995,Гранада,7,210938
Дортмунд 1995,Гранада,7,210938
Дортмунд 1995,Гранада,8,105469
Дортмунд 1995,Гранада,8,105469
Дортмунд 1995,Гранада,8,105469
Дортмунд 1995,Гранада,8,105469
Дортмунд 1995,Гранада,9,52734
Дортмунд 1995,Гранада,9,52734
Дортмунд 1995,Гранада,9,52734
Дортмунд 1995,Гранада,9,52734
Дортмунд 1995,Гранада,10,26367
Дортмунд 1995,Гранада,10,26367
Дортмунд 1995,Гранада,10,26367
Дортмунд 1995,Гранада,10,26367
Тилбург 1962,Душанбе,0,43000000
Тилбург 1962,Душанбе,0,43000000
Тилбург 1962,Душанбе,0,43000000
Тилбург 1962,Душанбе,0,43000000
Тилбург 1962,Душанбе,1,21500000
Тилбург 1962,Душанбе,1,21500000
Тилбург 1962,Душанбе,1,21500000
Тилбург 1962,Душанбе,1,21500000
Тилбург 1962,Душанбе,2,10750000
Тилбург 1962,Душанбе,2,10750000
Тилбург 1962,Душанбе,2,10750000
Тилбург 1962,Душанбе,2,10750000
Тилбург 1962,Душанбе,3,5375000
Тилбург 1962,Душанбе,3,5375000
Тилбург 1962,Душанбе,3,5375000
Тилбург 1962,Душанбе,3,5375000
Тилбург 1962,Душанбе,4,2687500
Тилбург 1962,Душанбе,4,2687500
Тилбург 1962,Душанбе,4,2687500
Тилбург 1962,Душанбе,4,2687500
Тилбург 1962,Душанбе,5,1343750
Тилбург 1962,Душанбе,5,1343750
Тилбург 1962,Душанбе,5,1343750
Тилбург 1962,Душанбе,5,1343750
Гашиш 1960,Вальядолид,0,29000000
Гашиш 1960,Вальядолид,0,29000000
Гашиш 1960,Вальядолид,0,29000000
Гашиш 1960,Вальядолид,0,29000000
Гашиш 1960,Вальядолид,1,14500000
Гашиш 1960,Вальядолид,1,14500000
Гашиш 1960,Вальядолид,1,14500000
Гашиш 1960,Вальядолид,1,14500000
Гашиш 1960,Вальядолид,2,7250000
Гашиш 1960,Вальядолид,2,7250000
Гашиш 1960,Вальядолид,2,7250000
Гашиш 1960,Вальядолид,2,7250000
Гашиш 1960,Вальядолид,3,3625000
Гашиш 1960,Вальядолид,3,3625000
Гашиш 1960,Вальядолид,3,3625000
Гашиш 1960,Вальядолид,3,3625000
Гашиш 1960,Вальядолид,4,1812500
Гашиш 1960,Вальядолид,4,1812500
Гашиш 1960,Вальядолид,4,1812500
Гашиш 1960,Вальядолид,4,1812500
Гашиш 1960,Вальядолид,5,906250
Гашиш 1960,Вальядолид,5,906250
Гашиш 1960,Вальядолид,5,906250
Гашиш 1960,Вальядолид,5,906250
Гашиш 1960,Вальядолид,6,453125
Гашиш 1960,Вальядолид,6,453125
Гашиш 1960,Вальядолид,6,453125
Гашиш 1960,Вальядолид,6,453125
Гашиш 1960,Вальядолид,7,226562
Гашиш 1960,Вальядолид,7,226562
Гашиш 1960,Вальядолид,7,226562
Гашиш 1960,Вальядолид,7,226562
Гашиш 1960,Вальядолид,8,113281
Гашиш 1960,Вальядолид,8,113281
Гашиш 1960,Вальядолид,8,113281
Гашиш 1960,Вальядолид,8,113281
Гашиш 1960,Вальядолид,9,56641
Гашиш 1960,Вальядолид,9,56641
Гашиш 1960,Вальядолид,9,56641
Гашиш 1960,Вальядолид,9,56641
Гашиш 1960,Вальядолид,10,28320
Гашиш 1960,Вальядолид,10,28320
Гашиш 1960,Вальядолид,10,28320
Гашиш 1960,Вальядолид,10,28320
Гашиш 1960,Вальядолид,11,14160
Гашиш 1960,Вальядолид,11,14160
Гашиш 1960,Вальядолид,11,14160
Гашиш 1960,Вальядолид,11,14160
Макартур 1992,Гранада,0,7000000
Макартур 1992,Гранада,0,7000000
Макартур 1992,Гранада,0,7000000
Макартур 1992,Гранада,0,7000000
Макартур 1992,Гранада,1,3500000
Макартур 1992,Гранада,1,3500000
Макартур 1992,Гранада,1,3500000
Макартур 1992,Гранада,1,3500000
Макартур 1992,Гранада,2,1750000
Макартур 1992,Гранада,2,1750000
Макартур 1992,Гранада,2,1750000
Макартур 1992,Гранада,2,1750000
Макартур 1992,Гранада,3,875000
Макартур 1992,Гранада,3,875000
Макартур 1992,Гранада,3,875000
Макартур 1992,Гранада,3,875000
Макартур 1992,Гранада,4,437500
Макартур 1992,Гранада,4,437500
Макартур 1992,Гранада,4,437500
Макартур 1992,Гранада,4,437500
Макартур 1992,Гранада,5,218750
Макартур 1992,Гранада,5,218750
Макартур 1992,Гранада,5,218750
Макартур 1992,Гранада,5,218750
Макартур 1992,Гранада,6,109375
Макартур 1992,Гранада,6,109375
Макартур 1992,Гранада,6,109375
Макартур 1992,Гранада,6,109375
Макартур 1992,Гранада,7,54688
Макартур 1992,Гранада,7,54688
Макартур 1992,Гранада,7,54688
Макартур 1992,Гранада,7,54688
Макартур 1992,Гранада,8,27344
Макартур 1992,Гранада,8,27344
Макартур 1992,Гранада,8,27344
Макартур 1992,Гранада,8,27344
Макартур 1992,Гранада,9,13672
Макартур 1992,Гранада,9,13672
Макартур 1992,Гранада,9,13672
Макартур 1992,Гранада,9,13672
Макартур 1992,Гранада,10,6836
Макартур 1992,Гранада,10,6836
Макартур 1992,Гранада,10,6836
Макартур 1992,Гранада,10,6836
Макартур 1992,Гранада,11,3418
Макартур 1992,Гранада,11,3418
Макартур 1992,Гранада,11,3418
Макартур 1992,Гранада,11,3418
Макартур 1992,Гранада,12,2000
Макартур 1992,Гранада,12,2000
Макартур 1992,Гранада,12,2000
Макартур 1992,Гранада,12,2000
Макартур 1992,Гранада,13,2000
Макартур 1992,Гранада,13,2000
Макартур 1992,Гранада,13,2000
Макартур 1992,Гранада,13,2000
Макартур 1992,Гранада,14,2000
Макартур 1992,Гранада,14,2000
Макартур 1992,Гранада,14,2000
Макартур 1992,Гранада,14,2000
Шамкович 1957,Сеговия,0,32000000
Шамкович 1957,Сеговия,0,32000000
Шамкович 1957,Сеговия,0,32000000
Шамкович 1957,Сеговия,0,32000000
Шамкович 1957,Сеговия,1,16000000
Шамкович 1957,Сеговия,1,16000000
